RA_ICRS,DE_ICRS,Plx,e_Plx,pmRA,pmDE,Gmag,BPmag,RPmag
57.01725910279,23.13050386912,0.9496,0.0831,1.181,-6.097,17.195036,17.954435,16.366762
57.03534098671,23.12763305305,0.1496,0.4297,3.648,-7.893,19.612913,20.541758,18.514074
57.05402838391,23.13051877225,,,,,20.33598,18.25824,16.505266
57.05127697027,23.13033971201,,,,,20.641161,19.690248,17.987915
57.03071585697,23.14333127717,,,,,20.840773,20.963552,19.361317
57.03698858903,23.13466732654,0.4755,0.0597,3.482,-4.607,16.609562,17.059856,16.002834
57.0375286916,23.13226879246,0.9968,0.0172,3.921,-0.777,13.744706,14.153545,13.166487
57.04118359293,23.13742501248,1.9257,0.1231,-9.067,-0.686,17.856527,19.222382,16.769466
57.03676900455,23.14366645033,0.4278,0.2594,0.763,0.012,19.13627,20.044548,18.296694
57.0997247358,23.13547163119,7.4409,0.0865,18.026,-46.277,17.242805,19.077133,15.96666
57.09183946842,23.13705405783,0.5022,0.0442,2.432,-1.023,15.933581,16.269184,15.412456
57.12690956236,23.15694387874,4.1041,1.9381,-2.323,-7.494,20.819159,21.558493,19.387037
57.09041871606,23.15231834739,0.294,0.1984,1.856,-0.403,18.59398,19.036964,18.05739
57.10425394389,23.15580858697,-0.0819,0.3035,2.715,-1.127,19.339645,19.817368,18.669704
57.09975897851,23.15924067163,0.1801,0.1945,0.501,-0.581,18.71499,19.225971,17.994743
57.08827690521,23.15603523547,0.7213,0.5048,0.259,-3.571,20.082397,21.219677,18.973108
57.09909046421,23.15649761049,0.9504,0.06,2.604,-11.175,16.572353,17.125896,15.882071
57.08890893745,23.15436494501,1.2477,0.1021,8.632,-11.997,17.62654,18.558212,16.715834
57.10535849294,23.16216819157,0.4651,0.4938,1.264,-1.566,20.080599,20.760447,19.179148
57.06269879146,23.14632817053,0.179,0.1589,-1.05,-2.668,18.414188,18.941032,17.757483
57.06742899468,23.14387636986,1.1767,1.438,2.049,-4.41,20.73266,21.677677,19.314545
57.07271558648,23.15225390792,-0.3574,1.2837,-0.155,-1.36,20.685202,21.193079,19.781746
57.05276053617,23.16193682086,0.4384,0.3665,1.773,1.178,19.593637,20.45886,18.869438
57.06246818429,23.17295070996,1.4445,0.2678,15.337,-9.648,19.023357,20.41323,17.914404
57.05971496958,23.17076364662,0.9914,0.0185,-0.039,-3.789,13.879948,14.205057,13.382711
57.06566393079,23.16261175693,1.7243,0.4425,2.758,-2.101,19.836948,20.750896,18.922665
57.07504418357,23.16615562687,-0.0628,0.4435,-0.113,-1.376,19.938707,20.556137,19.39901
57.0900715795,23.16579722203,,,,,20.840128,21.19767,19.42071
57.0875402726,23.15997594427,0.0754,0.0217,-0.229,-0.134,14.494877,15.136889,13.724499
57.09023029063,23.17287021636,0.9116,0.5082,-0.017,-2.358,19.984953,21.230658,18.800297
57.07548780048,23.17039062473,0.4798,0.1421,-0.29,-2.056,18.165798,19.068409,17.264132
57.06761536178,23.17277998707,0.4692,0.0675,10.146,-7.643,16.840046,17.356363,16.188385
57.06936688295,23.17545472355,0.4195,0.227,-2.157,-1.934,18.896357,19.842043,17.975685
57.07714873888,23.17369732572,0.1031,0.0652,1.371,-1.671,16.725504,17.274252,16.02956
57.08488099351,23.18238544821,0.485,0.2687,3.386,-2.392,19.200764,19.918106,18.332203
57.09225184806,23.18762552513,,,,,20.8756,20.836807,19.887102
57.0815005082,23.18949966018,,,,,20.695595,21.109056,20.014801
57.00307196328,23.12627848379,,,,,20.91844,20.53599,19.911911
57.00648857224,23.14157305384,0.4567,0.2372,-3.803,-7.07,18.866045,,
57.00640217868,23.14190868905,0.5691,0.221,-3.166,-6.918,18.726982,18.799526,17.479553
56.98215844451,23.13221743189,1.3789,0.5431,0.963,9.144,19.783339,20.960087,18.647732
56.98800664094,23.135268786,0.327,0.1601,-0.091,0.36,18.263405,18.748203,17.644577
57.01997961182,23.14900655072,0.0262,0.7585,6.474,-6.137,20.16291,21.161322,19.043344
57.01810432952,23.15170316686,0.4497,0.04,1.981,-1.619,15.737212,16.114971,15.182277
57.03640556894,23.1543129026,1.8353,0.7822,-2.04,0.432,20.279396,21.146593,19.268116
57.03161519859,23.15621821898,0.1269,0.8721,7.064,-5.542,20.576878,20.76541,19.43465
57.01793111437,23.16060473187,1.0077,0.1939,1.837,-10.072,18.561121,19.757318,17.56935
56.97508256295,23.14760030612,0.5699,0.4395,-1.118,-2.091,19.740547,20.279408,19.028706
56.97720450078,23.15575062139,1.9498,0.8139,-0.813,-2.177,20.28781,20.57596,19.613407
56.96608382092,23.1543832585,1.462,0.1194,3.445,-12.863,17.62264,18.729818,16.58971
56.95962573941,23.15230131598,0.4771,0.0597,-0.579,-2.667,16.45564,16.86616,15.883327
56.95510423213,23.15433707593,0.4,0.1336,-1.154,-3.447,17.798199,18.348778,17.132233
56.98640406637,23.16558403836,0.7568,0.1097,5.316,-3.525,17.549892,18.194878,16.807627
57.00951524815,23.16907717233,2.1985,0.6144,1.567,-15.267,20.079306,20.974234,18.867485
56.97625660726,23.17541456579,0.3936,0.1002,1.732,-2.429,17.311483,17.750784,16.723562
56.98418934532,23.18399406441,0.2314,0.27,2.034,-0.587,19.028187,19.660553,18.242542
56.99168558866,23.18873456496,0.5586,0.1251,3.813,-3.855,17.734394,18.33084,17.046202
57.042638468,23.16757775853,,,,,21.024927,21.5772,20.448135
57.05418921863,23.17600259322,,,,,21.851423,20.094698,18.47317
57.03128346531,23.17454487143,0.7752,0.0686,3.826,-3.867,16.83564,17.466208,16.094786
57.06079281378,23.18404514475,,,,,20.926605,21.102573,19.87923
