RA_ICRS,DE_ICRS,Plx,e_Plx,pmRA,pmDE,Gmag,BPmag,RPmag,galactic_l,galactic_b,rel_e_Plx
56.27001240205,23.28184658425,1.6016,0.3162,25.935,-14.649,18.914043,20.688047,17.706924,166.82889939633142,-24.434631633879356,0.19742757242757242
56.27350772077,23.29409853091,2.2309,0.0893,24.736,-87.267,17.11481,18.152431,16.12558,166.82247154842497,-24.423399208856445,0.04002868797346362
56.24832003082,23.31450790307,0.81,0.0859,10.081,-30.797,15.802562,16.401548,15.021703,166.78859359000677,-24.42381429665602,0.10604938271604938
56.77494624529,23.13614445787,0.9106,0.1456,2.705,-1.746,17.857246,18.710098,16.986935,167.31281006005813,-24.229265851640843,0.1598945750054909
56.76931289852,23.13513413008,0.3108,0.0611,0.229,-1.834,16.179361,16.535942,15.652886,167.30937852246157,-24.233516067267686,0.19658944658944658
56.96845245104,23.1241935057,2.4482,0.2512,30.571,-19.595,18.79146,20.492422,17.516024,167.4651010265207,-24.117435396972603,0.10260599624213708
56.92010581401,23.11283514908,1.328,0.0169,-2.801,-3.503,12.559003,12.80498,12.161394,167.4377536100534,-24.155948323600743,0.012725903614457829
56.96330500134,23.13268978639,1.8602,0.1045,21.537,-2.483,17.387865,18.407707,16.363941,167.45497440093135,-24.11440785497028,0.05617675518761423
56.93671200054,23.13532504714,3.2867,0.1123,9.173,-34.083,17.52248,18.976856,16.386269,167.43333208476596,-24.129064319406822,0.034168010466425286
57.01738412062,23.13266711344,0.8526,0.148,5.183,-3.546,18.218662,19.191563,17.257462,167.49499326846424,-24.080664110748344,0.17358667604973022
57.01918995215,23.13409544074,0.6163,0.0841,0.901,-5.95,17.256653,18.13973,16.325054,167.495265984239,-24.078487917618776,0.13645951646925197
57.01725910279,23.13050386912,0.9496,0.0831,1.181,-6.097,17.195036,17.954435,16.366762,167.49650994883132,-24.082330097348457,0.08751053074978937
57.03698858903,23.13466732654,0.4755,0.0597,3.482,-4.607,16.609562,17.059856,16.002834,167.5079979363925,-24.066951631562212,0.12555205047318613
57.0375286916,23.13226879246,0.9968,0.0172,3.921,-0.777,13.744706,14.153545,13.166487,167.51018153216955,-24.068374500831343,0.01725521669341894
57.04118359293,23.13742501248,1.9257,0.1231,-9.067,-0.686,17.856527,19.222382,16.769466,167.50904688723543,-24.062307419516763,0.06392480656384691
57.0997247358,23.13547163119,7.4409,0.0865,18.026,-46.277,17.242805,19.077133,15.96666,167.5537458778329,-24.027157985288678,0.01162493784354043
57.09183946842,23.13705405783,0.5022,0.0442,2.432,-1.023,15.933581,16.269184,15.412456,167.5467454744606,-24.03092657598339,0.08801274392672243
57.09909046421,23.15649761049,0.9504,0.06,2.604,-11.175,16.572353,17.125896,15.882071,167.53762956391327,-24.012133609913988,0.06313131313131312
57.08890893745,23.15436494501,1.2477,0.1021,8.632,-11.997,17.62654,18.558212,16.715834,167.5316992470497,-24.02006073697275,0.08183056824557185
57.06246818429,23.17295070996,1.4445,0.2678,15.337,-9.648,19.023357,20.41323,17.914404,167.49834653979875,-24.022942883030122,0.18539286950501904
57.05971496958,23.17076364662,0.9914,0.0185,-0.039,-3.789,13.879948,14.205057,13.382711,167.49793964965465,-24.0262672842214,0.018660480129110348
57.06761536178,23.17277998707,0.4692,0.0675,10.146,-7.643,16.840046,17.356363,16.188385,167.50227502094327,-24.019853447730565,0.1438618925831202
57.01810432952,23.15170316686,0.4497,0.04,1.981,-1.619,15.737212,16.114971,15.182277,167.48136754337676,-24.06624047454624,0.08894818768067601
57.01793111437,23.16060473187,1.0077,0.1939,1.837,-10.072,18.561121,19.757318,17.56935,167.4746199485029,-24.059813757530865,0.1924183784856604
56.96608382092,23.1543832585,1.462,0.1194,3.445,-12.863,17.62264,18.729818,16.58971,167.44090319460577,-24.09673968216536,0.08166894664842682
56.95962573941,23.15230131598,0.4771,0.0597,-0.579,-2.667,16.45564,16.86616,15.883327,167.43767245527255,-24.102298095450468,0.12513099979040035
56.98640406637,23.16558403836,0.7568,0.1097,5.316,-3.525,17.549892,18.194878,16.807627,167.44760786367365,-24.075834345842228,0.14495243128964058
57.03128346531,23.17454487143,0.7752,0.0686,3.826,-3.867,16.83564,17.466208,16.094786,167.47412266772417,-24.041244658368473,0.08849329205366356
57.06070242594,23.21131152037,0.3907,0.0587,-0.517,0.705,16.527443,16.918293,15.962277,167.46851744914764,-23.995892563297357,0.15024315331456362
57.02923485385,23.19538715561,0.9957,0.1419,2.276,-6.352,18.068008,19.059067,17.133678,167.45711335779475,-24.027222460618393,0.14251280506176559
57.02176445122,23.20830898841,1.5696,0.0633,17.42,-4.976,16.602583,17.417524,15.730138,167.44198908440333,-24.02239640506473,0.04032874617737003
57.03760009493,23.21386288593,0.8912,0.0439,3.214,-9.877,15.678674,16.13464,15.047639,167.44955969624107,-24.008437873107592,0.04925942549371634
57.0210903496,23.21758924905,0.7136,0.0218,0.429,-1.4,14.128487,14.504045,13.564876,167.43459415863398,-24.0160024598904,0.030549327354260088
56.85744267903,23.11714655723,0.3465,0.0412,1.054,-5.214,15.620872,16.038097,15.041867,167.38811521438052,-24.19185539678361,0.11890331890331891
56.83671007708,23.11898655873,1.5403,0.0701,20.984,-27.567,16.383915,17.10676,15.557349,167.3713752162528,-24.20342329283275,0.04551061481529572
56.84753853265,23.12047294571,2.0797,0.2833,30.32,-9.345,15.791377,16.447887,14.897378,167.37830075733316,-24.19558219329042,0.13622157041881042
56.86158847425,23.13141422425,0.964,0.0531,10.411,-13.482,16.190527,16.771114,15.462687,167.38058853949815,-24.178780200390065,0.055082987551867225
56.90405467743,23.13145300106,7.0413,1.3071,-1.938,13.007,20.557901,21.273104,19.052803,167.41202643164843,-24.15227800093463,0.18563333475352561
56.93469710261,23.16627255301,0.5047,0.0408,-0.17,0.789,15.364758,15.734364,14.809951,167.4088410498823,-24.107581270762587,0.08084010303150387
56.89550825069,23.15096992197,0.6829,0.0409,-2.194,-4.064,15.675767,16.063702,15.108374,167.39119407333556,-24.143260594774073,0.059891638600087865
56.87456094372,23.15697399936,0.8587,0.0817,4.973,-2.949,16.994347,17.700598,16.201561,167.3712158857123,-24.15190149891145,0.09514382205659717
56.84946705531,23.14900482936,7.3469,0.0517,19.445,-45.54,15.890427,17.49346,14.665,167.35853762490507,-24.1733969480523,0.007036981584069472
56.84283651448,23.17263060332,1.0738,0.0247,1.054,-4.633,14.571305,15.044904,13.9396,167.3360797053286,-24.160148768957313,0.02300242130750605
56.79961942952,23.14781993442,3.159,0.4815,4.822,-12.016,19.291252,20.566036,18.003904,167.3224518070546,-24.20531312384876,0.15242165242165243
56.81211957247,23.15175221737,0.655,0.1243,0.348,1.432,17.688898,18.604149,16.7495,167.328804970903,-24.194636691961207,0.1897709923664122
56.80361807382,23.17713738695,1.7783,0.2092,10.821,7.434,18.446558,19.76094,17.344248,167.30365691579757,-24.181248457288216,0.11764044311983354
56.87107973955,23.16891883538,1.3148,0.0473,9.642,-0.551,15.959147,16.570969,15.215928,167.35976535317673,-24.145286942351625,0.03597505324003651
56.83751096415,23.2055847559,0.9537,0.0342,-4.185,-4.918,15.089622,15.50225,14.503017,167.30767213171876,-24.139219733880584,0.03586033343818811
56.87126731524,23.21187665103,0.722,0.0821,6.549,-4.277,15.947441,16.434372,15.27005,167.32801056560274,-24.113576498895114,0.11371191135734074
56.95508055493,23.17097906,1.1605,0.1186,2.218,1.378,17.659595,18.502872,16.791237,167.42042776389553,-24.09141175351955,0.10219732873761309
56.95876359627,23.17481618864,1.0974,0.1649,6.573,1.742,18.114855,19.096205,17.172478,167.42030119068613,-24.08629564963464,0.15026426098049936
56.96333301137,23.18022004835,1.1396,0.2208,4.687,-6.13,18.665346,19.691711,17.666672,167.41966584669657,-24.079475793749392,0.19375219375219377
56.9552402806,23.18600077227,0.6391,0.1271,-1.116,-1.355,17.595102,18.280209,16.803534,167.4093838592384,-24.08027535979305,0.1988734157408856
56.98402732404,23.19193337346,1.0697,0.0217,6.034,-10.036,8.851566,9.796937,7.899643,167.42626630954453,-24.057964143635065,0.020286061512573617
56.97325423148,23.21357046799,1.3028,0.02,1.719,-4.365,13.820353,14.213568,13.25564,167.40222427762484,-24.048787341887394,0.015351550506601168
56.91952035948,23.1950673076,0.9956,0.0676,2.885,-6.326,16.494444,17.094694,15.752465,167.37621716240048,-24.095878884420966,0.0678987545198875
56.9286709746,23.19999699077,0.7222,0.0462,5.494,3.762,15.824545,16.27721,15.2087,167.37932805934543,-24.086552668990745,0.06397119911381889
56.97360705338,23.2175345835,1.3352,0.0799,17.174,-0.969,16.930323,17.782557,16.035006,167.39954036704904,-24.0456549179864,0.05984122228879569
56.95058643018,23.2178837759,7.4112,0.0205,20.054,-45.848,10.945833,11.33603,10.391232,167.38225707919204,-24.059748147117872,0.0027660837651122625
56.94892039871,23.21649714675,0.674,0.0484,0.391,0.161,15.657484,16.11186,15.020504,167.38205463665733,-24.06180554156998,0.0718100890207715
56.99425623191,23.21975891184,1.9433,0.185,20.307,-15.373,18.346115,19.706755,17.181232,167.41315266072988,-24.031145738134413,0.09519888848865332
57.0297338859,23.24570126891,1.5631,0.0435,-0.808,-3.373,16.011091,16.677538,15.214602,167.4200904377904,-23.989967428939508,0.027829313543599257
56.98509704842,23.23589881632,0.9447,0.0807,3.216,-2.353,15.661257,15.912718,14.657272,167.39439333121126,-24.024999771407085,0.08542394410924102
56.9853464905,23.23040164315,0.437,0.0762,0.425,-3.407,16.775318,17.218359,16.156784,167.398660909582,-24.028882879378838,0.17437070938215105
56.8837608821,23.22709473144,0.488,0.0514,2.141,-0.461,16.007496,16.406752,15.438028,167.32596669338847,-24.094604505523968,0.10532786885245903
