RA_ICRS,DE_ICRS,Plx,e_Plx,pmRA,pmDE,Gmag,BPmag,RPmag,galactic_l,galactic_b,rel_e_Plx,distance,M_g,bp_rp,v_ra,v_dec,v_total
56.27001240205,23.28184658425,1.6016,0.3162,25.935,-14.649,18.914043,20.688047,17.706924,166.82889939633142,-24.43463163387936,0.1974275724275724,624.3756243756244,9.936813300676217,2.981123,76.75568181818183,-43.354308191808194,88.15344990506189
56.27350772077,23.29409853091,2.2309,0.0893,24.736,-87.267,17.11481,18.152431,16.12558,166.82247154842497,-24.423399208856445,0.0400286879734636,448.2495853691335,8.857210517439947,2.0268510000000006,52.556654265094814,-185.41645972477477,192.7212117137336
56.24832003082,23.31450790307,0.81,0.0859,10.081,-30.797,15.802562,16.401548,15.021703,166.78859359000677,-24.42381429665602,0.1060493827160493,1234.567901234568,5.3449870943932485,1.3798449999999978,58.992518518518516,-180.2194814814815,189.62905564973897
56.77494624529,23.13614445787,0.9106,0.1456,2.705,-1.746,17.857246,18.710098,16.986935,167.31281006005813,-24.229265851640843,0.1598945750054909,1098.1770261366132,7.653884229860854,1.7231629999999996,14.080496376015814,-9.088556995387657,16.75894526673455
56.76931289852,23.13513413008,0.3108,0.0611,0.229,-1.834,16.179361,16.535942,15.652886,167.30937852246157,-24.233516067267686,0.1965894465894465,3217.5032175032175,3.6417660506443834,0.8830559999999981,3.492471042471043,-27.970270270270273,28.187468367600236
56.96845245104,23.1241935057,2.4482,0.2512,30.571,-19.595,18.79146,20.492422,17.516024,167.4651010265207,-24.117435396972603,0.102605996242137,408.46336083653296,10.735694467997554,2.9763979999999997,59.189012335593496,-37.93819949350543,70.30395552223257
56.92010581401,23.11283514908,1.328,0.0169,-2.801,-3.503,12.559003,12.80498,12.161394,167.4377536100534,-24.155948323600743,0.0127259036144578,753.0120481927711,3.1749933751599944,0.6435860000000009,-9.997545180722893,-12.503177710843374,16.008758930957956
56.96330500134,23.13268978639,1.8602,0.1045,21.537,-2.483,17.387865,18.407707,16.363941,167.45497440093135,-24.11440785497028,0.0561767551876142,537.5766046661649,8.735663200194105,2.043765999999998,54.87871196645522,-6.326964842490056,55.2422257988874
56.93671200054,23.13532504714,3.2867,0.1123,9.173,-34.083,17.52248,18.976856,16.386269,167.43333208476596,-24.129064319406822,0.0341680104664252,304.25654912221984,10.106280324042817,2.590587000000003,13.229080840965102,-49.15368606809261,50.9027841476023
57.01738412062,23.13266711344,0.8526,0.148,5.183,-3.546,18.218662,19.191563,17.257462,167.49499326846424,-24.080664110748344,0.1735866760497302,1172.882946281961,7.872388641555565,1.9341009999999983,28.814707952146378,-19.713863476425054,34.9130893438924
57.01918995215,23.13409544074,0.6163,0.0841,0.901,-5.95,17.256653,18.13973,16.325054,167.495265984239,-24.078487917618776,0.1364595164692519,1622.5864027259452,6.2056138386533775,1.8146759999999986,6.929644653577803,-45.76180431607983,46.28350364101709
57.01725910279,23.13050386912,0.9496,0.0831,1.181,-6.097,17.195036,17.954435,16.366762,167.49650994883132,-24.082330097348457,0.0875105307497893,1053.0749789385004,7.082739529732676,1.5876729999999988,5.89505054759899,-30.433635214827298,30.999318917484675
57.03698858903,23.13466732654,0.4755,0.0597,3.482,-4.607,16.609562,17.059856,16.002834,167.5079979363925,-24.06695163156221,0.1255520504731861,2103.0494216614093,4.995314606367163,1.057022,34.71015772870663,-45.92466876971611,57.56622491669773
57.0375286916,23.13226879246,0.9968,0.0172,3.921,-0.777,13.744706,14.153545,13.166487,167.51018153216955,-24.068374500831343,0.0172552166934189,1003.2102728731942,3.7377461465754713,0.9870579999999993,18.645204654895668,-3.694803370786517,19.00776758516682
57.04118359293,23.13742501248,1.9257,0.1231,-9.067,-0.686,17.856527,19.222382,16.769466,167.50904688723543,-24.062307419516763,0.0639248065638469,519.291686140105,9.279470152019702,2.4529159999999983,-22.317899984421253,-1.688549618320611,22.381685806215778
57.0997247358,23.13547163119,7.4409,0.0865,18.026,-46.277,17.242805,19.077133,15.96666,167.5537458778329,-24.02715798528868,0.0116249378435404,134.3923450120281,11.600932339956941,3.1104730000000007,11.482917389025518,-29.4793613675765,31.63684779498973
57.09183946842,23.13705405783,0.5022,0.0442,2.432,-1.023,15.933581,16.269184,15.412456,167.5467454744606,-24.03092657598339,0.0880127439267224,1991.2385503783355,4.437964541884519,0.8567279999999986,22.954360812425328,-9.655555555555557,24.902458380517924
57.09909046421,23.15649761049,0.9504,0.06,2.604,-11.175,16.572353,17.125896,15.882071,167.53762956391327,-24.012133609913988,0.0631313131313131,1052.1885521885522,6.461885138185593,1.243825000000001,12.987121212121213,-55.73390151515152,57.227031160797935
57.08890893745,23.15436494501,1.2477,0.1021,8.632,-11.997,17.62654,18.558212,16.715834,167.5316992470497,-24.02006073697275,0.0818305682455718,801.4747134727899,8.10709087542298,1.842378,32.79288290454436,-45.5764847319067,56.14792186456132
57.06246818429,23.17295070996,1.4445,0.2678,15.337,-9.648,19.023357,20.41323,17.914404,167.49834653979875,-24.02294288303012,0.185392869505019,692.2810661128418,9.82194473090108,2.4988259999999975,50.32701973001039,-31.65906542056075,59.45675183028585
57.05971496958,23.17076364662,0.9914,0.0185,-0.039,-3.789,13.879948,14.205057,13.382711,167.49793964965465,-24.0262672842214,0.0186604801291103,1008.6746015735324,3.8611925728456615,0.8223459999999996,-0.18646358684688324,-18.115654629816426,18.11661423489525
